Name,source,target,best_target_acc,last_target_acc
CNN,CWRU_2,CWRU_1,1,1
CNN,CWRU_2,CWRU_0,1,1
CNN,CWRU_1,CWRU_2,1,1
CNN,CWRU_1,CWRU_0,1,1
CNN,CWRU_0,CWRU_2,0.99,0.98
CNN,CWRU_0,CWRU_1,0.99,0.99
CDAN,CWRU_2,CWRU_1,0.99,0.99
CDAN,CWRU_2,CWRU_0,0.93,0.9
CDAN,CWRU_1,CWRU_2,0.99,0.98
CDAN,CWRU_1,CWRU_0,0.97,0.96
CDAN,CWRU_0,CWRU_2,0.96,0.96
CDAN,CWRU_0,CWRU_1,0.99,0.99
CORAL,CWRU_2,CWRU_1,0.99,0.99
CORAL,CWRU_2,CWRU_0,0.96,0.96
CORAL,CWRU_1,CWRU_2,0.99,0.99
CORAL,CWRU_1,CWRU_0,1,1
CORAL,CWRU_0,CWRU_2,0.96,0.95
CORAL,CWRU_0,CWRU_1,0.98,0.98
ACDANN,CWRU_2,CWRU_1,0.95,0.93
ACDANN,CWRU_2,CWRU_0,0.88,0.88
ACDANN,CWRU_1,CWRU_2,0.92,0.92
ACDANN,CWRU_1,CWRU_0,0.88,0.88
ACDANN,CWRU_0,CWRU_2,0.96,0.96
ACDANN,CWRU_0,CWRU_1,0.99,0.99
DANN,CWRU_2,CWRU_1,1,1
DANN,CWRU_2,CWRU_0,1,1
DANN,CWRU_1,CWRU_2,1,1
DANN,CWRU_1,CWRU_0,1,1
DANN,CWRU_0,CWRU_2,1,1
DANN,CWRU_0,CWRU_1,1,1
