Name,source,target,best_target_acc,last_target_acc
CDAN,JNU_2,JNU_1,0.83,0.82
CDAN,JNU_2,JNU_0,0.64,0.64
CDAN,JNU_1,JNU_2,0.94,0.94
CDAN,JNU_1,JNU_0,0.72,0.71
CDAN,JNU_0,JNU_2,0.73,0.61
CDAN,JNU_0,JNU_1,0.75,0.62
CORAL,JNU_2,JNU_1,0.91,0.91
CORAL,JNU_2,JNU_0,0.83,0.83
CORAL,JNU_1,JNU_2,0.96,0.96
CORAL,JNU_1,JNU_0,0.81,0.8
CORAL,JNU_0,JNU_2,0.91,0.91
CORAL,JNU_0,JNU_1,0.94,0.94
ACDANN,JNU_2,JNU_1,0.86,0.84
ACDANN,JNU_2,JNU_0,0.69,0.69
ACDANN,JNU_1,JNU_2,0.94,0.94
ACDANN,JNU_1,JNU_0,0.74,0.73
ACDANN,JNU_0,JNU_2,0.9,0.9
ACDANN,JNU_0,JNU_1,0.87,0.87
DANN,JNU_2,JNU_1,0.88,0.88
DANN,JNU_2,JNU_0,0.75,0.74
DANN,JNU_1,JNU_2,0.96,0.96
DANN,JNU_1,JNU_0,0.8,0.8
DANN,JNU_0,JNU_2,0.93,0.92
DANN,JNU_0,JNU_1,0.94,0.94
CNN,JNU_2,JNU_1,0.87,0.87
CNN,JNU_2,JNU_0,0.73,0.72
CNN,JNU_1,JNU_2,0.96,0.96
CNN,JNU_1,JNU_0,0.8,0.77
CNN,JNU_0,JNU_2,0.92,0.91
CNN,JNU_0,JNU_1,0.94,0.94
