Task,Name,last_target_acc,Task_Order
T1(1730->1750),ACDANN,1.0,1
T1(1730->1750),CDAN,1.0,1
T1(1730->1750),CNN,1.0,1
T1(1730->1750),CORAL,1.0,1
T1(1730->1750),DANN,0.99,1
T13(600>800),ACDANN,0.98,13
T13(600>800),CDAN,0.98,13
T13(600>800),CNN,0.79,13
T13(600>800),CORAL,1.0,13
T13(600>800),DANN,1.0,13
T14(600->1000),ACDANN,0.96,14
T14(600->1000),CDAN,0.98,14
T14(600->1000),CNN,0.76,14
T14(600->1000),CORAL,0.99,14
T14(600->1000),DANN,0.97,14
T15(800->600),ACDANN,0.93,15
T15(800->600),CDAN,0.91,15
T15(800->600),CNN,0.67,15
T15(800->600),CORAL,0.92,15
T15(800->600),DANN,0.83,15
T16(800->1000),ACDANN,1.0,16
T16(800->1000),CDAN,1.0,16
T16(800->1000),CNN,1.0,16
T16(800->1000),CORAL,1.0,16
T16(800->1000),DANN,1.0,16
T17(1000->600),ACDANN,0.94,17
T17(1000->600),CDAN,0.92,17
T17(1000->600),CNN,0.83,17
T17(1000->600),CORAL,0.96,17
T17(1000->600),DANN,0.89,17
T18(1000->800),ACDANN,0.98,18
T18(1000->800),CDAN,0.99,18
T18(1000->800),CNN,0.99,18
T18(1000->800),CORAL,1.0,18
T18(1000->800),DANN,0.99,18
T2(1730->1772),ACDANN,1.0,2
T2(1730->1772),CDAN,0.96,2
T2(1730->1772),CNN,0.99,2
T2(1730->1772),CORAL,1.0,2
T2(1730->1772),DANN,1.0,2
T4(1750->1730),ACDANN,1.0,4
T4(1750->1730),CDAN,0.98,4
T4(1750->1730),CNN,1.0,4
T4(1750->1730),CORAL,0.98,4
T4(1750->1730),DANN,1.0,4
T5(1750->1772),ACDANN,1.0,5
T5(1750->1772),CDAN,1.0,5
T5(1750->1772),CNN,1.0,5
T5(1750->1772),CORAL,1.0,5
T5(1750->1772),DANN,1.0,5
T7(1772->1730),ACDANN,1.0,7
T7(1772->1730),CDAN,0.98,7
T7(1772->1730),CNN,1.0,7
T7(1772->1730),CORAL,0.92,7
T7(1772->1730),DANN,0.96,7
T8(1772->1750),ACDANN,1.0,8
T8(1772->1750),CDAN,1.0,8
T8(1772->1750),CNN,1.0,8
T8(1772->1750),CORAL,1.0,8
T8(1772->1750),DANN,1.0,8
