Name,source,target,best_target_acc,last_target_acc
CNN,CWRU_2,CWRU_1,1,1
CNN,CWRU_2,CWRU_0,1,1
CNN,CWRU_1,CWRU_2,1,1
CNN,CWRU_1,CWRU_0,1,1
CNN,CWRU_0,CWRU_2,0.99,0.98
CNN,CWRU_0,CWRU_1,0.99,0.99
CDAN,CWRU_2,CWRU_1,0.83,0.82
CDAN,CWRU_2,CWRU_0,0.83,0.81
CDAN,CWRU_1,CWRU_2,0.8,0.77
CDAN,CWRU_1,CWRU_0,0.85,0.81
CDAN,CWRU_0,CWRU_2,0.79,0.76
CDAN,CWRU_0,CWRU_1,0.83,0.82
CORAL,CWRU_2,CWRU_1,0.64,0.63
CORAL,CWRU_2,CWRU_0,0.63,0.63
CORAL,CWRU_1,CWRU_2,0.64,0.64
CORAL,CWRU_1,CWRU_0,0.63,0.63
CORAL,CWRU_0,CWRU_2,0.62,0.61
CORAL,CWRU_0,CWRU_1,0.62,0.61
ACDANN,CWRU_2,CWRU_1,0.7,0.61
ACDANN,CWRU_2,CWRU_0,0.61,0.54
ACDANN,CWRU_1,CWRU_2,0.64,0.61
ACDANN,CWRU_1,CWRU_0,0.63,0.58
ACDANN,CWRU_0,CWRU_2,0.49,0.47
ACDANN,CWRU_0,CWRU_1,0.56,0.56
DANN,CWRU_2,CWRU_1,1,0.99
DANN,CWRU_2,CWRU_0,1,0.8
DANN,CWRU_1,CWRU_2,1,0.98
DANN,CWRU_1,CWRU_0,1,1
DANN,CWRU_0,CWRU_2,0.99,0.81
DANN,CWRU_0,CWRU_1,0.99,0.62
