Name,source,target,best_target_acc,last_target_acc
CNN,JNU_2,JNU_1,0.84,0.83
CNN,JNU_2,JNU_0,0.64,0.64
CNN,JNU_1,JNU_2,0.93,0.93
CNN,JNU_1,JNU_0,0.77,0.77
CNN,JNU_0,JNU_2,0.73,0.64
CNN,JNU_0,JNU_1,0.78,0.66
CDAN,JNU_2,JNU_1,0.5,0.42
CDAN,JNU_2,JNU_0,0.49,0.45
CDAN,JNU_1,JNU_2,0.51,0.45
CDAN,JNU_1,JNU_0,0.52,0.5
CDAN,JNU_0,JNU_2,0.41,0.27
CDAN,JNU_0,JNU_1,0.43,0.31
CORAL,JNU_2,JNU_1,0.37,0.36
CORAL,JNU_2,JNU_0,0.36,0.28
CORAL,JNU_1,JNU_2,0.38,0.28
CORAL,JNU_1,JNU_0,0.4,0.29
CORAL,JNU_0,JNU_2,0.41,0.4
CORAL,JNU_0,JNU_1,0.44,0.44
ACDANN,JNU_2,JNU_1,0.52,0.39
ACDANN,JNU_2,JNU_0,0.44,0.31
ACDANN,JNU_1,JNU_2,0.51,0.3
ACDANN,JNU_1,JNU_0,0.49,0.29
ACDANN,JNU_0,JNU_2,0.48,0.37
ACDANN,JNU_0,JNU_1,0.48,0.42
DANN,JNU_2,JNU_1,0.75,0.75
DANN,JNU_2,JNU_0,0.58,0.58
DANN,JNU_1,JNU_2,0.8,0.8
DANN,JNU_1,JNU_0,0.61,0.61
DANN,JNU_0,JNU_2,0.67,0.65
DANN,JNU_0,JNU_1,0.75,0.73
